,min_spectro_db,max_spectro_db,filename
296,-45.250443,34.749557,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
297,-43.01354,36.98646,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
298,-42.322433,37.677567,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
299,-44.31954,35.68046,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
300,-42.58076,37.41924,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
301,-43.61511,36.38489,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
302,-43.89892,36.10108,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
303,-44.781727,35.218273,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
304,-45.06343,34.93657,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
305,-42.79107,37.20893,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
306,-43.76588,36.23412,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
307,-40.50571,39.49429,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
308,-43.23939,36.76061,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
309,-40.65247,39.34753,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
310,-38.61343,41.38657,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
311,-42.87783,37.12217,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
312,-36.47203,43.52797,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
313,-43.08126,36.91874,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
314,-41.981552,38.018448,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
315,-42.488342,37.511658,JA - Nanae Yoshimura  The Art of Koto Vol 1 - Rokudan.mp3
